date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-11-30,3.58,3.61,3.61,3.58,661552.5,0.02,0.56,3.596,3.603,3.615,645381.0,712788.75,923984.63
2018-11-29,3.61,3.62,3.59,3.58,544740.94,-0.01,-0.28,3.592,3.602,3.62,682770.55,778843.98,987469.03
2018-11-28,3.58,3.62,3.6,3.58,590109.94,0.02,0.56,3.596,3.603,3.624,669901.37,832108.64,1031120.63
2018-11-27,3.61,3.61,3.58,3.58,585087.88,-0.02,-0.56,3.598,3.601,3.63,676857.99,902920.15,1067229.31
2018-11-26,3.59,3.62,3.6,3.59,845413.75,0.01,0.28,3.602,3.605,3.638,743745.41,954964.59,1125587.09
2018-11-23,3.6,3.62,3.59,3.58,848500.25,-0.02,-0.55,3.61,3.606,3.643,780196.51,959184.33,1163492.76
2018-11-22,3.62,3.62,3.61,3.59,480395.03,0.0,0.0,3.612,3.606,3.649,874917.41,1035067.48,1188118.73
2018-11-21,3.59,3.62,3.61,3.58,624893.06,0.01,0.28,3.61,3.612,3.654,994315.9,1056633.01,1226154.69
2018-11-20,3.63,3.63,3.6,3.6,919524.94,-0.04,-1.1,3.604,3.617,3.658,1128982.31,1084200.75,1294206.42
2018-11-19,3.61,3.64,3.64,3.6,1027669.25,0.04,1.11,3.608,3.623,3.659,1166183.77,1095201.05,1326797.44
2018-11-16,3.6,3.62,3.6,3.58,1322104.75,0.0,0.0,3.602,3.627,3.662,1138172.16,1135180.51,1395757.59
2018-11-15,3.57,3.6,3.6,3.57,1077387.5,0.02,0.56,3.6,3.638,3.662,1195217.56,1196094.08,1421274.64
2018-11-14,3.62,3.62,3.58,3.56,1298225.12,-0.04,-1.1,3.614,3.645,3.658,1118950.11,1230132.63,1427311.58
2018-11-13,3.58,3.63,3.62,3.58,1105532.25,0.01,0.28,3.63,3.659,3.656,1039419.19,1231538.46,1422637.42
2018-11-12,3.59,3.62,3.61,3.58,887611.19,0.02,0.56,3.638,3.671,3.651,1024218.33,1296209.59,1413922.0
2018-11-09,3.66,3.66,3.59,3.59,1607331.75,-0.08,-2.18,3.652,3.68,3.645,1132188.86,1367801.2,1415906.68
2018-11-08,3.68,3.69,3.67,3.66,696050.25,0.01,0.27,3.676,3.692,3.643,1196970.59,1341169.97,1410735.06
2018-11-07,3.67,3.69,3.66,3.65,900570.5,0.0,0.0,3.676,3.696,3.635,1341315.14,1395676.38,1480236.73
2018-11-06,3.68,3.68,3.66,3.64,1029527.94,-0.02,-0.54,3.688,3.698,3.632,1423657.74,1504212.1,1483048.0
2018-11-05,3.69,3.7,3.68,3.66,1427463.88,-0.03,-0.81,3.704,3.694,3.628,1568200.85,1558393.83,1489288.24
2018-11-02,3.7,3.72,3.71,3.68,1931240.38,0.04,1.09,3.708,3.696,3.625,1603413.53,1656334.66,1509852.47
2018-11-01,3.72,3.73,3.67,3.67,1417773.0,-0.05,-1.34,3.708,3.686,3.626,1485369.35,1646455.21,1512558.1
2018-10-31,3.74,3.75,3.72,3.7,1312283.5,-0.02,-0.54,3.716,3.671,3.626,1450037.63,1624490.53,1488824.25
2018-10-30,3.7,3.75,3.74,3.7,1752243.5,0.04,1.08,3.708,3.653,3.624,1584766.45,1613736.38,1515624.03
2018-10-29,3.71,3.75,3.7,3.67,1603527.25,-0.01,-0.27,3.684,3.63,3.62,1548586.8,1531634.41,1488153.14
2018-10-26,3.71,3.73,3.71,3.68,1341019.5,0.0,0.0,3.684,3.61,3.619,1709255.8,1464012.16,1536020.3
2018-10-25,3.63,3.71,3.71,3.62,1241114.38,0.03,0.81,3.664,3.594,3.612,1807541.08,1480300.16,1540747.04
2018-10-24,3.62,3.73,3.68,3.62,1985927.62,0.06,1.66,3.626,3.573,3.604,1798943.42,1564797.08,1530884.17
2018-10-23,3.68,3.69,3.62,3.61,1571345.25,-0.08,-2.16,3.598,3.565,3.598,1642706.3,1461883.91,1472527.98
2018-10-22,3.62,3.72,3.7,3.61,2406872.25,0.09,2.49,3.576,3.562,3.593,1514682.03,1420182.66,1421565.09
2018-10-19,3.5,3.62,3.61,3.49,1832445.88,0.09,2.56,3.536,3.554,3.585,1218768.51,1363370.28,1335946.28
2018-10-18,3.53,3.55,3.52,3.51,1198126.12,-0.02,-0.56,3.524,3.565,3.581,1153059.24,1378660.99,1288783.29
2018-10-17,3.54,3.55,3.54,3.5,1204742.0,0.03,0.85,3.52,3.581,3.58,1330650.74,1353157.98,1266677.46
2018-10-16,3.51,3.54,3.51,3.5,931223.88,0.01,0.29,3.532,3.595,3.578,1281061.51,1417511.69,1242757.81
2018-10-15,3.54,3.54,3.5,3.5,927304.69,-0.05,-1.41,3.548,3.609,3.579,1325683.29,1444671.87,1234235.7
2018-10-12,3.49,3.55,3.55,3.48,1503899.5,0.05,1.43,3.572,3.627,3.579,1507972.05,1608028.45,1216705.18
2018-10-11,3.54,3.56,3.5,3.46,2086083.62,-0.1,-2.78,3.606,3.629,3.577,1604262.75,1601193.92,1176367.49
2018-10-10,3.6,3.62,3.6,3.58,956795.88,0.01,0.28,3.642,3.635,3.578,1375665.23,1496971.27,1115621.06
2018-10-09,3.61,3.62,3.59,3.58,1154332.75,-0.03,-0.83,3.658,3.63,3.577,1553961.87,1483172.06,1115676.88
2018-10-08,3.66,3.66,3.62,3.59,1838748.5,-0.1,-2.69,3.67,3.623,3.575,1563660.45,1422947.52,1093748.22
2018-09-28,3.68,3.75,3.72,3.67,1985353.0,0.04,1.09,3.682,3.615,3.572,1708084.85,1308522.28,1076054.37
2018-09-27,3.67,3.68,3.68,3.64,943096.0,0.0,0.0,3.652,3.597,3.562,1598125.1,1198905.58,1011086.64
2018-09-26,3.65,3.71,3.68,3.64,1848279.12,0.03,0.82,3.628,3.578,3.556,1618277.31,1180196.94,998516.2
2018-09-25,3.65,3.67,3.65,3.63,1202825.62,-0.03,-0.81,3.602,3.561,3.55,1412382.25,1068003.92,947256.56
2018-09-21,3.57,3.69,3.68,3.56,2560870.5,0.11,3.08,3.576,3.548,3.545,1282234.6,1023799.54,947239.96
2018-09-20,3.58,3.6,3.57,3.54,1435554.25,0.01,0.28,3.548,3.531,3.538,908959.71,825381.91,873904.67
2018-09-19,3.55,3.58,3.56,3.54,1043857.06,0.01,0.28,3.542,3.524,3.534,799686.06,751541.06,832219.48
2018-09-18,3.53,3.55,3.55,3.51,818803.81,0.03,0.85,3.528,3.521,3.531,742116.56,734270.86,799904.59
2018-09-17,3.53,3.54,3.52,3.51,552087.38,-0.02,-0.56,3.52,3.524,3.53,723625.6,748181.7,801365.68
2018-09-14,3.54,3.55,3.54,3.53,694496.06,0.0,0.0,3.52,3.527,3.529,765364.47,764548.91,816746.35
2018-09-13,3.51,3.54,3.54,3.5,889186.0,0.05,1.43,3.514,3.528,3.524,741804.1,843586.46,814989.4
2018-09-12,3.5,3.51,3.49,3.47,756009.56,-0.02,-0.57,3.506,3.527,3.521,703396.05,823267.69,816945.74
2018-09-11,3.51,3.53,3.51,3.49,726349.0,-0.01,-0.28,3.514,3.534,3.519,726425.15,816835.46,829001.43
2018-09-10,3.5,3.53,3.52,3.49,760781.75,0.01,0.28,3.528,3.539,3.519,772737.8,826509.2,832350.88
2018-09-07,3.5,3.53,3.51,3.5,576694.19,0.01,0.29,3.534,3.542,3.518,763733.35,870680.38,853698.68
2018-09-06,3.53,3.54,3.5,3.5,697145.75,-0.03,-0.85,3.542,3.544,3.52,945368.81,922427.43,858659.72
2018-09-05,3.57,3.58,3.53,3.53,871155.06,-0.05,-1.4,3.548,3.544,3.523,943139.34,912897.91,875177.76
2018-09-04,3.55,3.59,3.58,3.53,957912.25,0.03,0.84,3.554,3.541,3.523,907245.76,865538.32,873474.94
2018-09-03,3.55,3.56,3.55,3.53,715759.5,0.0,0.0,3.55,3.535,3.522,880280.6,854549.67,879472.95
2018-08-31,3.54,3.58,3.55,3.53,1484871.5,0.02,0.57,3.55,3.53,3.52,977627.4,868943.78,907352.87
2018-08-30,3.56,3.57,3.53,3.53,685998.38,-0.03,-0.84,3.546,3.52,3.518,899486.05,786392.34,873688.73
2018-08-29,3.55,3.56,3.56,3.54,691687.19,0.0,0.0,3.54,3.514,3.516,882656.49,810623.79,916531.72
2018-08-28,3.55,3.58,3.56,3.55,823086.44,0.01,0.28,3.528,3.503,3.516,823830.87,841167.41,950341.68
